No.	--- date & time ---	H1	T1	H2	T2
1	2023-05-06 12:22:48	76.00	23.30	99.90	25.20
2	2023-05-06 12:22:51	75.60	23.30	99.90	26.50
3	2023-05-06 12:22:55	75.70	23.30	99.90	26.10
4	2023-05-06 12:22:58	75.70	23.30	99.90	25.80
5	2023-05-06 12:23:01	75.30	23.30	99.90	25.70
6	2023-05-06 12:23:04	74.70	23.30	99.90	25.60
7	2023-05-06 12:23:07	74.10	23.30	99.90	25.60
8	2023-05-06 12:23:10	73.60	23.40	99.90	25.50
9	2023-05-06 12:23:13	73.00	23.40	99.90	25.50
10	2023-05-06 12:23:16	72.50	23.40	99.90	25.40
11	2023-05-06 12:23:19	72.00	23.40	99.90	25.40
12	2023-05-06 12:23:22	71.50	23.40	99.90	25.40
13	2023-05-06 12:23:25	71.20	23.40	99.90	25.40
14	2023-05-06 12:23:28	70.80	23.40	99.90	25.40
15	2023-05-06 12:23:31	70.60	23.40	99.90	25.40
16	2023-05-06 12:23:34	70.30	23.40	99.90	25.40
17	2023-05-06 12:23:37	70.00	23.40	99.90	25.40
18	2023-05-06 12:23:40	69.80	23.40	99.90	25.40
19	2023-05-06 12:23:43	69.60	23.40	99.90	25.40
20	2023-05-06 12:23:46	69.50	23.40	99.90	25.40
21	2023-05-06 12:23:50	69.20	23.40	99.90	25.50
22	2023-05-06 12:23:53	69.10	23.40	99.90	25.50
23	2023-05-06 12:23:56	68.90	23.40	99.90	25.50
24	2023-05-06 12:23:59	68.70	23.40	99.90	25.40
25	2023-05-06 12:24:02	68.60	23.40	99.90	25.50
26	2023-05-06 12:24:05	68.50	23.40	99.90	25.50
27	2023-05-06 12:24:08	68.30	23.30	99.90	25.50
28	2023-05-06 12:24:11	68.20	23.30	99.90	25.50
29	2023-05-06 12:24:14	68.20	23.30	99.90	25.50
30	2023-05-06 12:24:17	68.10	23.30	99.90	25.40
31	2023-05-06 12:24:20	68.00	23.30	99.90	25.40
32	2023-05-06 12:24:23	68.00	23.30	99.90	25.40
33	2023-05-06 12:24:26	67.90	23.30	99.90	25.40
34	2023-05-06 12:24:29	67.90	23.30	99.90	25.40
35	2023-05-06 12:24:32	69.00	23.30	99.90	25.30
36	2023-05-06 12:24:35	73.00	23.30	99.90	25.30
37	2023-05-06 12:24:38	77.00	23.30	99.90	25.20
38	2023-05-06 12:24:41	80.70	23.30	99.90	25.20
39	2023-05-06 12:24:44	83.80	23.30	99.90	25.20
40	2023-05-06 12:24:48	86.40	23.30	99.90	25.10
41	2023-05-06 12:24:51	88.70	23.40	99.90	25.10
42	2023-05-06 12:24:54	90.20	23.40	99.90	25.10
43	2023-05-06 12:24:57	90.90	23.40	99.90	25.10
44	2023-05-06 12:25:00	91.50	23.50	99.90	25.00
45	2023-05-06 12:25:03	91.40	23.50	99.90	25.00
46	2023-05-06 12:25:06	90.20	23.50	99.90	24.90
47	2023-05-06 12:25:09	87.70	23.60	99.90	24.90
48	2023-05-06 12:25:12	85.00	23.60	99.90	24.90
49	2023-05-06 12:25:15	82.20	23.70	99.90	24.80
