No.	--- date & time ---	H1	T1	H2	T2
1	2023-05-06 12:13:13	69.00	21.80	67.00	23.10
2	2023-05-06 12:13:16	69.00	21.80	66.40	23.20
3	2023-05-06 12:13:19	69.00	21.80	68.20	23.30
4	2023-05-06 12:13:22	69.10	21.80	70.40	23.30
5	2023-05-06 12:13:25	69.00	21.80	72.80	23.40
6	2023-05-06 12:13:28	69.10	21.80	74.90	23.40
7	2023-05-06 12:13:31	69.10	21.80	97.70	24.10
8	2023-05-06 12:13:34	69.10	21.80	99.90	24.10
9	2023-05-06 12:13:37	69.10	21.80	99.90	24.10
10	2023-05-06 12:13:40	69.20	21.80	99.90	24.10
11	2023-05-06 12:13:43	69.20	21.80	99.90	24.10
12	2023-05-06 12:13:46	96.20	22.00	99.90	24.10
13	2023-05-06 12:13:49	99.90	22.00	99.90	24.10
14	2023-05-06 12:13:52	99.90	22.00	99.90	24.10
15	2023-05-06 12:13:55	99.90	22.00	98.30	24.10
16	2023-05-06 12:13:58	99.90	22.00	95.30	24.00
17	2023-05-06 12:14:01	99.90	22.00	93.50	24.10
18	2023-05-06 12:14:05	99.90	22.10	89.10	24.10
19	2023-05-06 12:14:08	99.90	22.10	84.80	24.10
20	2023-05-06 12:14:11	99.90	22.10	80.70	24.10
21	2023-05-06 12:14:14	99.90	22.10	76.80	24.20
22	2023-05-06 12:14:17	99.90	22.10	73.60	24.30
23	2023-05-06 12:14:20	99.90	22.10	70.90	24.30
24	2023-05-06 12:14:23	99.90	22.10	68.70	24.40
25	2023-05-06 12:14:26	99.90	22.10	66.90	24.40
26	2023-05-06 12:14:29	99.90	22.10	65.40	24.40
27	2023-05-06 12:14:32	99.90	22.20	64.20	24.40
28	2023-05-06 12:14:35	99.90	22.10	63.20	24.40
29	2023-05-06 12:14:38	99.90	22.20	62.50	24.50
30	2023-05-06 12:14:41	99.90	22.20	61.70	24.50
31	2023-05-06 12:14:45			61.20	24.50
32	2023-05-06 12:14:48	99.90	22.20	60.60	24.50
33	2023-05-06 12:14:51	99.90	22.20	60.20	24.50
34	2023-05-06 12:14:54	99.40	22.20	59.80	24.50
35	2023-05-06 12:14:57	98.50	22.20	59.40	24.50
36	2023-05-06 12:15:00	97.50	22.20	59.00	24.50
37	2023-05-06 12:15:03	96.60	22.20	58.70	24.60
38	2023-05-06 12:15:06	95.60	22.20	58.40	24.60
39	2023-05-06 12:15:09	94.80	22.30	58.20	24.60
40	2023-05-06 12:15:12	93.90	22.30	57.90	24.60
41	2023-05-06 12:15:15	93.00	22.30	57.60	24.50
42	2023-05-06 12:15:18	92.00	22.30	57.40	24.50
43	2023-05-06 12:15:21	91.20	22.30	57.20	24.50
44	2023-05-06 12:15:24	90.40	22.30	57.00	24.50
45	2023-05-06 12:15:27	89.50	22.30	56.90	24.50
46	2023-05-06 12:15:30	88.20	22.30	56.80	24.50
47	2023-05-06 12:15:33	87.10	22.30	56.60	24.50
48	2023-05-06 12:15:36	86.10	22.30	56.50	24.50
49	2023-05-06 12:15:39	85.30	22.30	56.40	24.40
