No.	--- date & time ---	H1	T1	H2	T2
1	2023-05-06 12:08:18	68.90	21.80	61.10	21.70
2	2023-05-06 12:08:21	68.90	21.80	61.10	21.60
3	2023-05-06 12:08:24	68.90	21.80	61.10	21.60
4	2023-05-06 12:08:27	68.90	21.80	61.10	21.60
5	2023-05-06 12:08:30	68.90	21.80	61.10	21.60
6	2023-05-06 12:08:33	68.90	21.80	61.10	21.60
7	2023-05-06 12:08:36	68.90	21.80	61.10	21.60
8	2023-05-06 12:08:39	68.90	21.80	61.10	21.70
9	2023-05-06 12:08:42	68.90	21.80	61.10	21.60
10	2023-05-06 12:08:45	68.90	21.80	61.10	21.60
11	2023-05-06 12:08:48	68.90	21.80	61.10	21.60
12	2023-05-06 12:08:51	68.90	21.80	61.10	21.60
13	2023-05-06 12:08:54	68.90	21.80	61.10	21.60
14	2023-05-06 12:08:57	68.90	21.80	61.10	21.60
15	2023-05-06 12:09:00	68.90	21.80	61.10	21.60
16	2023-05-06 12:09:03	68.90	21.80	61.10	21.60
17	2023-05-06 12:09:07	69.20	21.80	61.10	21.60
18	2023-05-06 12:09:10	69.40	21.80	61.20	21.60
19	2023-05-06 12:09:13	69.50	21.80	61.20	21.70
20	2023-05-06 12:09:16	69.60	21.80	61.20	21.60
21	2023-05-06 12:09:19	69.50	21.80	61.20	21.60
22	2023-05-06 12:09:22	69.40	21.80	61.20	21.60
23	2023-05-06 12:09:25	69.40	21.80	61.20	21.60
24	2023-05-06 12:09:28	69.30	21.80	61.20	21.60
25	2023-05-06 12:09:31	69.20	21.80	61.20	21.60
26	2023-05-06 12:09:34	69.30	21.80	61.20	21.60
27	2023-05-06 12:09:37	69.40	21.80	61.10	21.60
28	2023-05-06 12:09:40	69.40	21.80	61.10	21.60
29	2023-05-06 12:09:43	69.90	21.80	61.30	21.60
30	2023-05-06 12:09:46	70.20	21.80	61.40	21.70
31	2023-05-06 12:09:50			61.50	21.60
32	2023-05-06 12:09:53	70.10	21.80	61.60	21.60
33	2023-05-06 12:09:56	69.90	21.80	61.60	21.60
34	2023-05-06 12:09:59	69.80	21.80	61.60	21.60
35	2023-05-06 12:10:02	69.70	21.80	61.50	21.60
36	2023-05-06 12:10:05	69.60	21.80	61.40	21.60
37	2023-05-06 12:10:08	69.50	21.80	61.40	21.60
38	2023-05-06 12:10:11	69.40	21.80	61.30	21.60
39	2023-05-06 12:10:14	69.40	21.80	61.30	21.60
40	2023-05-06 12:10:17	69.30	21.80	61.30	21.60
41	2023-05-06 12:10:20	69.30	21.80	61.30	21.70
42	2023-05-06 12:10:23	69.30	21.80	61.30	21.60
43	2023-05-06 12:10:26	69.30	21.80	61.30	21.60
44	2023-05-06 12:10:29	69.30	21.80	61.30	21.60
45	2023-05-06 12:10:32	69.40	21.80	61.30	21.60
46	2023-05-06 12:10:35	69.40	21.80	61.30	21.60
47	2023-05-06 12:10:38	69.40	21.90	61.30	21.70
48	2023-05-06 12:10:41	69.30	21.80	61.30	21.60
49	2023-05-06 12:10:44	69.30	21.80	61.20	21.60
