No.	--- date & time ---	H1	T1	H2	T2
1	2023-05-05 09:40:30	76.60	23.40	68.70	23.40
2	2023-05-05 09:40:33	76.60	23.40	68.70	23.40
3	2023-05-05 09:40:36	76.70	23.40	68.70	23.40
4	2023-05-05 09:40:39	76.60	23.40	68.60	23.40
5	2023-05-05 09:40:42	76.60	23.40	68.70	23.40
6	2023-05-05 09:40:45	76.60	23.40	68.70	23.40
7	2023-05-05 09:40:48	76.60	23.40	68.70	23.40
8	2023-05-05 09:40:51	76.60	23.40	68.80	23.40
9	2023-05-05 09:40:54	76.70	23.40	68.80	23.40
10	2023-05-05 09:40:57	76.70	23.40	68.80	23.40
11	2023-05-05 09:41:00	76.70	23.40	68.80	23.40
12	2023-05-05 09:41:03	76.70	23.40	68.80	23.40
13	2023-05-05 09:41:06	76.70	23.40	68.80	23.40
14	2023-05-05 09:41:09	76.70	23.40	68.80	23.40
15	2023-05-05 09:41:12	76.70	23.40	68.80	23.40
16	2023-05-05 09:41:15	76.70	23.40	68.80	23.40
17	2023-05-05 09:41:18	76.70	23.40	68.80	23.40
18	2023-05-05 09:41:22	76.70	23.40	68.80	23.40
19	2023-05-05 09:41:25	76.70	23.40	68.80	23.40
20	2023-05-05 09:41:28	76.70	23.40	68.80	23.40
21	2023-05-05 09:41:31	76.70	23.40	68.80	23.40
22	2023-05-05 09:41:34	76.70	23.40	68.90	23.40
23	2023-05-05 09:41:37	76.80	23.40	68.90	23.40
24	2023-05-05 09:41:40	76.80	23.40	68.90	23.40
25	2023-05-05 09:41:43	76.80	23.40	69.20	23.40
26	2023-05-05 09:41:46	78.30	23.40	71.70	23.40
27	2023-05-05 09:41:49	84.10	23.50	74.70	23.40
28	2023-05-05 09:41:52	90.00	23.50	77.20	23.40
29	2023-05-05 09:41:55	92.30	23.40	79.90	23.40
30	2023-05-05 09:41:58	94.50	23.50	83.00	23.40
31	2023-05-05 09:42:01	96.40	23.50	86.20	23.50
32	2023-05-05 09:42:04	98.50	23.60	89.00	23.50
33	2023-05-05 09:42:07	99.90	23.70	90.60	23.50
34	2023-05-05 09:42:10	99.90	23.70	91.60	23.50
35	2023-05-05 09:42:13	99.90	23.80	92.40	23.50
36	2023-05-05 09:42:17	99.90	23.90	93.10	23.60
37	2023-05-05 09:42:20	99.90	23.90	93.80	23.60
38	2023-05-05 09:42:23	99.90	24.10	94.40	23.60
39	2023-05-05 09:42:26	99.90	24.10	94.90	23.70
40	2023-05-05 09:42:29	99.90	24.20	95.50	23.70
41	2023-05-05 09:42:32	99.90	24.30	96.10	23.80
42	2023-05-05 09:42:35	99.90	24.30	96.80	23.80
43	2023-05-05 09:42:38	99.90	24.40	97.30	23.90
44	2023-05-05 09:42:41	99.90	24.50	97.90	23.90
45	2023-05-05 09:42:44	99.90	24.60	98.70	24.00
46	2023-05-05 09:42:47	99.90	24.60	99.40	24.10
47	2023-05-05 09:42:50	99.90	24.70	99.90	24.10
48	2023-05-05 09:42:53	99.90	24.70	99.90	24.20
49	2023-05-05 09:42:56	99.90	24.80	99.90	24.30
